tree_id,tree_species,zone,street_name,latitude,longitude,tree_height_m,branch_condition_score,power_line_distance_m,pedestrian_use_index,wind_risk_index,inspection_condition_score,inspection_age_days,dead_branch_pct,canopy_density_pct,last_pruned_days,crew_access_score,near_school_score,near_road_score,recent_incident_count,work_order_status,last_inspection_date
TR-001,Rain Tree,North,Cedar Avenue,18.5421,73.8724,17.2,42,2.1,86,74,48,210,18,78,390,72,64,88,2,Open,2026-02-15
TR-002,Gulmohar,Central,Market Road,18.5237,73.8588,12.8,68,7.4,92,52,71,95,7,84,155,84,42,96,0,Planned,2026-06-10
TR-003,Neem,East,River View Road,18.5362,73.9021,14.5,51,3.2,61,68,55,178,15,69,260,63,28,79,1,Open,2026-03-19
TR-004,Peepal,West,Station Link,18.5164,73.8422,20.1,34,1.5,94,82,39,270,26,91,520,55,73,91,4,Escalated,2025-12-18
TR-005,Tabebuia,South,Greenway Lane,18.4959,73.8751,10.7,81,9.6,72,38,83,62,4,62,120,91,55,63,0,Planned,2026-07-12
TR-006,Rain Tree,Central,College Street,18.5310,73.8565,16.4,57,4.5,98,61,59,142,12,82,225,77,81,92,1,Open,2026-04-26
TR-007,Neem,North,Lake Road,18.5568,73.8813,13.6,74,6.2,49,47,76,80,6,70,170,89,24,57,0,Routine,2026-06-25
TR-008,Gulmohar,East,Canal Street,18.5218,73.9184,11.9,46,2.8,77,71,51,240,19,73,315,68,39,84,2,Open,2026-01-16
TR-009,Peepal,West,Hill Road,18.5072,73.8325,22.3,29,1.9,67,88,33,310,31,95,610,48,18,86,5,Escalated,2025-11-08
TR-010,Jamun,South,Garden Ring,18.4861,73.8617,15.1,63,5.5,83,57,65,130,10,76,205,80,67,71,1,Planned,2026-05-08
TR-011,Arjun,Central,Library Road,18.5278,73.8671,9.8,87,12.4,90,31,88,45,2,58,85,94,76,66,0,Routine,2026-07-29
TR-012,Neem,North,School Road,18.5633,73.8918,14.2,53,2.6,96,63,49,195,16,81,280,71,97,74,2,Open,2026-02-27
TR-013,Rain Tree,West,Old Bypass,18.4988,73.8204,19.4,38,3.7,58,79,44,225,22,88,445,61,15,98,3,Escalated,2026-01-31
TR-014,Tabebuia,East,Park Connector,18.5449,73.9250,8.7,91,15.0,65,29,92,36,1,51,72,96,48,52,0,Routine,2026-08-07
TR-015,Gulmohar,South,Temple Road,18.4795,73.8890,12.1,59,4.1,88,66,57,160,13,79,245,74,83,77,2,Planned,2026-04-08
TR-016,Neem,Central,Bus Depot Road,18.5152,73.8719,13.3,45,2.3,91,75,47,260,21,86,350,65,51,94,3,Open,2026-01-02
